"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"S","A","20180101","2018","52","2018","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","891","8.1 Franchises and similar rights","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","50180000000",,"50180000000","0","true","false",
"S","A","20190101","2019","52","2019","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","891","8.1 Franchises and similar rights","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","51858000000",,"51858000000","0","true","false",
"S","A","20200101","2020","52","2020","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","891","8.1 Franchises and similar rights","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","47150000000",,"47150000000","0","true","false",
"S","A","20210101","2021","52","2021","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","891","8.1 Franchises and similar rights","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","54534000000",,"54534000000","0","true","false",
"S","A","20140101","2014","52","2014","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","272","9.2 Operational leasing services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7668000000",,"7668000000","0","true","false",
"S","A","20170101","2017","52","2017","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","272","9.2 Operational leasing services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7179000000",,"7179000000","0","true","false",
"S","A","20120101","2012","52","2012","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","272","9.2 Operational leasing services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","8431000000",,"8431000000","0","true","false",
"S","A","20130101","2013","52","2013","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","272","9.2 Operational leasing services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","8569000000",,"8569000000","0","true","false",
"S","A","20150101","2015","52","2015","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","272","9.2 Operational leasing services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7177000000",,"7177000000","0","true","false",
"S","A","20160101","2016","52","2016","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","272","9.2 Operational leasing services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7084000000",,"7084000000","0","true","false",
"S","A","20180101","2018","52","2018","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","272","9.2 Operational leasing services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","6650000000",,"6650000000","0","true","false",
"S","A","20190101","2019","52","2019","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","272","9.2 Operational leasing services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","6850000000",,"6850000000","0","true","false",
"S","A","20200101","2020","52","2020","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","272","9.2 Operational leasing services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","9622000000",,"9622000000","0","true","false",
"S","A","20210101","2021","52","2021","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","272","9.2 Operational leasing services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","6007000000",,"6007000000","0","true","false",
"S","A","20140101","2014","52","2014","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","240","2.2 Personal travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","138568000000",,"138568000000","0","true","false",
"S","A","20170101","2017","52","2017","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","240","2.2 Personal travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","158118000000",,"158118000000","0","true","false",
"S","A","20120101","2012","52","2012","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","240","2.2 Personal travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","113572000000",,"113572000000","0","true","false",
"S","A","20130101","2013","52","2013","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","240","2.2 Personal travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","128637000000",,"128637000000","0","true","false",
"S","A","20150101","2015","52","2015","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","240","2.2 Personal travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","150305000000",,"150305000000","0","true","false",
"S","A","20160101","2016","52","2016","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","240","2.2 Personal travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","152623000000",,"152623000000","0","true","false",
"S","A","20180101","2018","52","2018","842","USA","USA","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","240","2.2 Personal travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","162868000000",,"162868000000","0","true","false",
