"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,533983921,1995
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,115639758,1995
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,515824112,1995
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,266337509,1995
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,156565879,1995
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,82855809,1995
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,11587274,1995
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,197143117,1995
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,5414715,1995
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,297061955,1995
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,23171288,1995
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,146669,1995
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,22709418,1995
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,3578100,1995
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,2286690,1995
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,200435,1995
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,1865658,1995
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,1232972,1995
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,19415579,1995
"Cereals",210,"Wheat",21001,"Vegetable Products",2,6034076509,1995
"Cereals",210,"Rye",21002,"Vegetable Products",2,1623416,1995
"Cereals",210,"Barley",21003,"Vegetable Products",2,206221954,1995
"Cereals",210,"Oats",21004,"Vegetable Products",2,7176739,1995
"Cereals",210,"Corn",21005,"Vegetable Products",2,7931645497,1995
"Cereals",210,"Rice",21006,"Vegetable Products",2,1099139533,1995
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,674307446,1995
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,42517155,1995
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,264431840,1995
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,54299774,1995
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,66407639,1995
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,152588189,1995
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,55102874,1995
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,14736557,1995
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,64921917,1995
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,69598535,1995
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,6996855,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,5790073601,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,277948086,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,757086.9999999999,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,992538,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,27583669,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,159785658,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,80940205,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,117409921,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,377559887,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,62397340,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,132004265,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,24609742,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,5166658.999999999,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,373609675,1995
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,27643442,1995
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,214847347,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,1080096,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Stuffing Materials",21402,"Vegetable Products",2,176542,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable material for brooms and brushes",21403,"Vegetable Products",2,1543729,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,57296718,1995
"Animal or vegetable fats, oils, & waxes",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,104240905,1995
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,688434578,1995
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,8558800,1995
"Animal or vegetable fats, oils, & waxes",315,"Fish oil",31504,"Animal and Vegetable Bi-Products",3,51352161,1995
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,10606616,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,9715875,1995
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,711575840,1995
"Animal or vegetable fats, oils, & waxes",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,56238777,1995
"Animal or vegetable fats, oils, & waxes",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,7041933,1995
"Animal or vegetable fats, oils, & waxes",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,1927640,1995
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,24592486,1995
"Animal or vegetable fats, oils, & waxes",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,480415443,1995
"Animal or vegetable fats, oils, & waxes",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,11858657,1995
"Animal or vegetable fats, oils, & waxes",315,"Rapeseed Oil",31514,"Animal and Vegetable Bi-Products",3,53187743,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,330640957,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,80669345,1995
"Animal or vegetable fats, oils, & waxes",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,66500597,1995
"Animal or vegetable fats, oils, & waxes",315,"Inedible Fats and Oils",31518,"Animal and Vegetable Bi-Products",3,60836059,1995
"Animal or vegetable fats, oils, & waxes",315,"Stearic Acid",31519,"Animal and Vegetable Bi-Products",3,159925806,1995
"Animal or vegetable fats, oils, & waxes",315,"Glycerol",31520,"Animal and Vegetable Bi-Products",3,29201510,1995
"Animal or vegetable fats, oils, & waxes",315,"Vegetable waxes and beeswax",31521,"Animal and Vegetable Bi-Products",3,8217596,1995
"Animal or vegetable fats, oils, & waxes",315,"Fat and Oil Residues",31522,"Animal and Vegetable Bi-Products",3,14354482,1995
"Preparations of fish, crustacenas, & molluscs",416,"Sausages",41601,"Foodstuffs",4,138107209,1995
"Preparations of fish, crustacenas, & molluscs",416,"Other Prepared Meat",41602,"Foodstuffs",4,311590686,1995
"Preparations of fish, crustacenas, & molluscs",416,"Animal Extracts",41603,"Foodstuffs",4,7675161,1995
"Preparations of fish, crustacenas, & molluscs",416,"Processed Fish",41604,"Foodstuffs",4,278099551,1995
"Preparations of fish, crustacenas, & molluscs",416,"Processed Crustaceans",41605,"Foodstuffs",4,81244701,1995
"Sugars & confectioneries",417,"Raw Sugar",41701,"Foodstuffs",4,169656396,1995
"Sugars & confectioneries",417,"Other Sugars",41702,"Foodstuffs",4,181466945,1995
"Sugars & confectioneries",417,"Molasses",41703,"Foodstuffs",4,28532744,1995
"Sugars & confectioneries",417,"Confectionery Sugar",41704,"Foodstuffs",4,227635196,1995
"Cocoa & cocoa preparations",418,"Cocoa Beans",41801,"Foodstuffs",4,11793726,1995
"Cocoa & cocoa preparations",418,"Cocoa Shells",41802,"Foodstuffs",4,1463670,1995
"Cocoa & cocoa preparations",418,"Cocoa Paste",41803,"Foodstuffs",4,16918104,1995
"Cocoa & cocoa preparations",418,"Cocoa Butter",41804,"Foodstuffs",4,33900372,1995
"Cocoa & cocoa preparations",418,"Cocoa Powder",41805,"Foodstuffs",4,15060614,1995
"Cocoa & cocoa preparations",418,"Chocolate",41806,"Foodstuffs",4,342784194,1995
"Preparations of cereals, flour, starch or milk",419,"Malt Extract",41901,"Foodstuffs",4,321131514,1995
"Preparations of cereals, flour, starch or milk",419,"Pasta",41902,"Foodstuffs",4,95408847,1995
"Preparations of cereals, flour, starch or milk",419,"Tapioca",41903,"Foodstuffs",4,1147345,1995
"Preparations of cereals, flour, starch or milk",419,"Prepared Cereals",41904,"Foodstuffs",4,186897703,1995
"Preparations of cereals, flour, starch or milk",419,"Baked Goods",41905,"Foodstuffs",4,460480398,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Pickled Foods",42001,"Foodstuffs",4,29713888,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Tomatoes",42002,"Foodstuffs",4,102650664,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Mushrooms",42003,"Foodstuffs",4,2958523,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Frozen Vegetables",42004,"Foodstuffs",4,331599169,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Vegetables",42005,"Foodstuffs",4,424568787,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Sugar Preserved Foods",42006,"Foodstuffs",4,6072267,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Jams",42007,"Foodstuffs",4,49227312,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Fruits and Nuts",42008,"Foodstuffs",4,332105672,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Fruit Juice",42009,"Foodstuffs",4,749543621,1995
"Miscellaneous edible preparations",421,"Coffee and Tea Extracts",42101,"Foodstuffs",4,77222193,1995
"Miscellaneous edible preparations",421,"Yeast",42102,"Foodstuffs",4,29733622,1995
"Miscellaneous edible preparations",421,"Sauces and Seasonings",42103,"Foodstuffs",4,344612958,1995
"Miscellaneous edible preparations",421,"Soups and Broths",42104,"Foodstuffs",4,171417902,1995
"Miscellaneous edible preparations",421,"Ice Cream",42105,"Foodstuffs",4,94089498,1995
"Miscellaneous edible preparations",421,"Other Edible Preparations",42106,"Foodstuffs",4,1319571750,1995
"Beverages, spirits, & vinegar",422,"Water",42201,"Foodstuffs",4,19055259,1995
"Beverages, spirits, & vinegar",422,"Flavored Water",42202,"Foodstuffs",4,351934480,1995
"Beverages, spirits, & vinegar",422,"Beer",42203,"Foodstuffs",4,441463169,1995
"Beverages, spirits, & vinegar",422,"Wine",42204,"Foodstuffs",4,234690731,1995
"Beverages, spirits, & vinegar",422,"Vermouth",42205,"Foodstuffs",4,2501627,1995
"Beverages, spirits, & vinegar",422,"Other Fermented Beverages",42206,"Foodstuffs",4,19020284,1995
"Beverages, spirits, & vinegar",422,"Alcohol > 80% ABV",42207,"Foodstuffs",4,369847524,1995
"Beverages, spirits, & vinegar",422,"Hard Liquor",42208,"Foodstuffs",4,456576082,1995
"Beverages, spirits, & vinegar",422,"Vinegar",42209,"Foodstuffs",4,6994054,1995
"Food residues & wastes; animal fodder",423,"Animal Meal and Pellets",42301,"Foodstuffs",4,142894530,1995
"Food residues & wastes; animal fodder",423,"Bran",42302,"Foodstuffs",4,92341141,1995
"Food residues & wastes; animal fodder",423,"Starch Residue",42303,"Foodstuffs",4,1209374478,1995
"Food residues & wastes; animal fodder",423,"Soybean Meal",42304,"Foodstuffs",4,1011006266,1995
"Food residues & wastes; animal fodder",423,"Ground Nut Meal",42305,"Foodstuffs",4,4474682,1995
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues",42306,"Foodstuffs",4,86367615,1995
"Food residues & wastes; animal fodder",423,"Wine Lees",42307,"Foodstuffs",4,2274966,1995
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues and Waste",42308,"Foodstuffs",4,249267766,1995
"Food residues & wastes; animal fodder",423,"Animal Food",42309,"Foodstuffs",4,1094898140,1995
"Tobacco & substitutes",424,"Raw Tobacco",42401,"Foodstuffs",4,1485860493,1995
"Tobacco & substitutes",424,"Rolled Tobacco",42402,"Foodstuffs",4,4440533022,1995
"Tobacco & substitutes",424,"Processed Tobacco",42403,"Foodstuffs",4,440816520,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Salt",52501,"Mineral Products",5,36201449,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Iron Pyrites",52502,"Mineral Products",5,439675,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Sulphur",52503,"Mineral Products",5,65513590,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Graphite",52504,"Mineral Products",5,18754207,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Sand",52505,"Mineral Products",5,109220044,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Quartz",52506,"Mineral Products",5,15229366,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Kaolin",52507,"Mineral Products",5,589826385,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Clays",52508,"Mineral Products",5,223288504,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Chalk",52509,"Mineral Products",5,3092319,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Calcium Phosphates",52510,"Mineral Products",5,181564207,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Barium Sulphate",52511,"Mineral Products",5,4393893,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Siliceous Fossil Meals",52512,"Mineral Products",5,44262836,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Pumice",52513,"Mineral Products",5,17352550,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Slate",52514,"Mineral Products",5,604434,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Marble, Travertine and Alabaster",52515,"Mineral Products",5,4777070,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Granite",52516,"Mineral Products",5,44613351,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Gravel and Crushed Stone",52517,"Mineral Products",5,33934552,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Dolomite",52518,"Mineral Products",5,8542898,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Magnesium Carbonate",52519,"Mineral Products",5,48138539,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Gypsum",52520,"Mineral Products",5,31364314,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Limestone",52521,"Mineral Products",5,26432230,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Quicklime",52522,"Mineral Products",5,13347949,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Cement",52523,"Mineral Products",5,57682223,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Asbestos",52524,"Mineral Products",5,8721901,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Mica",52525,"Mineral Products",5,5885995,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Soapstone",52526,"Mineral Products",5,40496152,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Natural cryolite, natural chiolite",52527,"Mineral Products",5,2366001,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Borax",52528,"Mineral Products",5,20231503,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Feldspar",52529,"Mineral Products",5,12499981,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Other Mineral",52530,"Mineral Products",5,93493278,1995
"Ores, slag and ash",526,"Iron Ore",52601,"Mineral Products",5,188072544,1995
"Ores, slag and ash",526,"Manganese Ore",52602,"Mineral Products",5,2431746,1995
"Ores, slag and ash",526,"Copper Ore",52603,"Mineral Products",5,482733864,1995
"Ores, slag and ash",526,"Nickel Ore",52604,"Mineral Products",5,4175946,1995
"Ores, slag and ash",526,"Cobalt Ore",52605,"Mineral Products",5,7841605,1995
"Ores, slag and ash",526,"Aluminium Ore",52606,"Mineral Products",5,23198742,1995
"Ores, slag and ash",526,"Lead Ore",52607,"Mineral Products",5,25305781,1995
"Ores, slag and ash",526,"Zinc Ore",52608,"Mineral Products",5,247551184,1995
"Ores, slag and ash",526,"Tin Ores",52609,"Mineral Products",5,5704842,1995
"Ores, slag and ash",526,"Chromium Ore",52610,"Mineral Products",5,4256798,1995
"Ores, slag and ash",526,"Tungsten Ore",52611,"Mineral Products",5,435656.99999999994,1995
"Ores, slag and ash",526,"Uranium and Thorium Ore",52612,"Mineral Products",5,1224,1995
"Ores, slag and ash",526,"Molybdenum Ore",52613,"Mineral Products",5,619348045,1995
"Ores, slag and ash",526,"Titanium Ore",52614,"Mineral Products",5,17280269,1995
"Ores, slag and ash",526,"Niobium, Tantalum, Vanadium and Zirconium Ore",52615,"Mineral Products",5,24447586,1995
"Ores, slag and ash",526,"Precious Metal Ore",52616,"Mineral Products",5,16752891.000000002,1995
"Ores, slag and ash",526,"Other Ores",52617,"Mineral Products",5,9909281,1995
"Ores, slag and ash",526,"Granulated Slag",52618,"Mineral Products",5,2354197,1995
"Ores, slag and ash",526,"Slag Dross",52619,"Mineral Products",5,4642914,1995
"Ores, slag and ash",526,"Non-Iron and Steel Slag, Ash and Residues",52620,"Mineral Products",5,248115288,1995
"Ores, slag and ash",526,"Other Slag and Ash",52621,"Mineral Products",5,8864372,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Briquettes",52701,"Mineral Products",5,4339302832,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Lignite",52702,"Mineral Products",5,8939249,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Peat",52703,"Mineral Products",5,3844492,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Coke",52704,"Mineral Products",5,148867816,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Non-Petroleum Gas",52705,"Mineral Products",5,785998,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Tar",52706,"Mineral Products",5,11085733,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Tar Oil",52707,"Mineral Products",5,627944334,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Pitch Coke",52708,"Mineral Products",5,42390360,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Crude Petroleum",52709,"Mineral Products",5,99277775,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Refined Petroleum",52710,"Mineral Products",5,4435830157,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Gas",52711,"Mineral Products",5,819815212,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Jelly",52712,"Mineral Products",5,146613488,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Coke",52713,"Mineral Products",5,1119678865,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Bitumen and asphalt",52714,"Mineral Products",5,24794321,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Asphalt Mixtures",52715,"Mineral Products",5,27370813,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Electricity",52716,"Mineral Products",5,96138795,1995
"Inorganic chemicals",628,"Halogens",62801,"Chemical Products",6,30517218,1995
"Inorganic chemicals",628,"Sulfur",62802,"Chemical Products",6,6398425,1995
"Inorganic chemicals",628,"Carbon",62803,"Chemical Products",6,139497531,1995
"Inorganic chemicals",628,"Hydrogen",62804,"Chemical Products",6,367277464,1995
"Inorganic chemicals",628,"Alkaline Metals",62805,"Chemical Products",6,29394446,1995
"Inorganic chemicals",628,"Hydrochloric Acid",62806,"Chemical Products",6,18386238,1995
"Inorganic chemicals",628,"Sulfuric Acid",62807,"Chemical Products",6,13183430,1995
"Inorganic chemicals",628,"Nitric Acids",62808,"Chemical Products",6,7202355,1995
