"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,297934561,1995
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,241650508,1995
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,135901829,1995
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,51658651,1995
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,135276230,1995
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,81112409,1995
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,8092168,1995
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,39550559,1995
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,2622871,1995
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,2896886078,1995
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,127151935,1995
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,656527,1995
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,159073648,1995
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,49398469,1995
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,30769335,1995
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,1203884,1995
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,6636994,1995
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,19012934,1995
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,52580956,1995
"Cereals",210,"Wheat",21001,"Vegetable Products",2,281947749,1995
"Cereals",210,"Rye",21002,"Vegetable Products",2,12382827,1995
"Cereals",210,"Barley",21003,"Vegetable Products",2,128724842,1995
"Cereals",210,"Oats",21004,"Vegetable Products",2,166589948,1995
