"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,295922085,1995
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,237237921,1995
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,135286760,1995
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,51391844,1995
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,134049372,1995
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,80716570,1995
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,7916031,1995
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,39106519,1995
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,2586459,1995
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,2850670865,1995
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,123375865,1995
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,652174,1995
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,157724144,1995
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,44524800,1995
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,30531088,1995
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,1180128,1995
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,6686856,1995
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,18627640,1995
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,51723885,1995
"Cereals",210,"Wheat",21001,"Vegetable Products",2,277836414,1995
"Cereals",210,"Rye",21002,"Vegetable Products",2,12182236,1995
"Cereals",210,"Barley",21003,"Vegetable Products",2,126290847,1995
"Cereals",210,"Oats",21004,"Vegetable Products",2,162758319,1995
"Cereals",210,"Corn",21005,"Vegetable Products",2,74181228,1995
"Cereals",210,"Rice",21006,"Vegetable Products",2,147451894,1995
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,117696,1995
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,11457975,1995
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,49629015,1995
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,11621986,1995
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,7713886,1995
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,18379248,1995
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,1826921,1995
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,8666212,1995
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,17502963,1995
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,47891772,1995
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,71279466,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,35600812,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,24488922,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,425609,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,44324515,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,56172629,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,16380723.000000002,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,101667524.00000001,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,2522373,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,183749278,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,40109263,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,127267782,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,48384763,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,282740,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,22081405,1995
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,76780523,1995
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,338167642,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,16304651,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Stuffing Materials",21402,"Vegetable Products",2,424989,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable material for brooms and brushes",21403,"Vegetable Products",2,12245027,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,27888532,1995
"Animal or vegetable fats, oils, & waxes",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,3582320,1995
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,9085847.000000002,1995
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,99474.00000000001,1995
"Animal or vegetable fats, oils, & waxes",315,"Fish oil",31504,"Animal and Vegetable Bi-Products",3,11324833,1995
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,10043639,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,911403,1995
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,23673107,1995
"Animal or vegetable fats, oils, & waxes",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,3206516,1995
"Animal or vegetable fats, oils, & waxes",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,341056511,1995
"Animal or vegetable fats, oils, & waxes",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,13429672,1995
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,52324830.00000001,1995
"Animal or vegetable fats, oils, & waxes",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,20011724,1995
"Animal or vegetable fats, oils, & waxes",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,389541597,1995
"Animal or vegetable fats, oils, & waxes",315,"Rapeseed Oil",31514,"Animal and Vegetable Bi-Products",3,245980517,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,93720525,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,72341177,1995
"Animal or vegetable fats, oils, & waxes",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,7643438.000000001,1995
"Animal or vegetable fats, oils, & waxes",315,"Inedible Fats and Oils",31518,"Animal and Vegetable Bi-Products",3,10490115,1995
"Animal or vegetable fats, oils, & waxes",315,"Stearic Acid",31519,"Animal and Vegetable Bi-Products",3,133714161,1995
"Animal or vegetable fats, oils, & waxes",315,"Glycerol",31520,"Animal and Vegetable Bi-Products",3,104754428,1995
"Animal or vegetable fats, oils, & waxes",315,"Vegetable waxes and beeswax",31521,"Animal and Vegetable Bi-Products",3,25683456,1995
"Animal or vegetable fats, oils, & waxes",315,"Fat and Oil Residues",31522,"Animal and Vegetable Bi-Products",3,1677919,1995
"Preparations of fish, crustacenas, & molluscs",416,"Sausages",41601,"Foodstuffs",4,18325550,1995
"Preparations of fish, crustacenas, & molluscs",416,"Other Prepared Meat",41602,"Foodstuffs",4,448126946,1995
"Preparations of fish, crustacenas, & molluscs",416,"Animal Extracts",41603,"Foodstuffs",4,5652708,1995
"Preparations of fish, crustacenas, & molluscs",416,"Processed Fish",41604,"Foodstuffs",4,469508146,1995
"Preparations of fish, crustacenas, & molluscs",416,"Processed Crustaceans",41605,"Foodstuffs",4,567804425,1995
"Sugars & confectioneries",417,"Raw Sugar",41701,"Foodstuffs",4,752199866,1995
"Sugars & confectioneries",417,"Other Sugars",41702,"Foodstuffs",4,91912393,1995
"Sugars & confectioneries",417,"Molasses",41703,"Foodstuffs",4,92829995,1995
"Sugars & confectioneries",417,"Confectionery Sugar",41704,"Foodstuffs",4,453246094,1995
"Cocoa & cocoa preparations",418,"Cocoa Beans",41801,"Foodstuffs",4,339555669,1995
"Cocoa & cocoa preparations",418,"Cocoa Shells",41802,"Foodstuffs",4,16406459,1995
"Cocoa & cocoa preparations",418,"Cocoa Paste",41803,"Foodstuffs",4,62600931,1995
"Cocoa & cocoa preparations",418,"Cocoa Butter",41804,"Foodstuffs",4,197381796,1995
"Cocoa & cocoa preparations",418,"Cocoa Powder",41805,"Foodstuffs",4,78450863,1995
"Cocoa & cocoa preparations",418,"Chocolate",41806,"Foodstuffs",4,402524014,1995
"Preparations of cereals, flour, starch or milk",419,"Malt Extract",41901,"Foodstuffs",4,99570524,1995
"Preparations of cereals, flour, starch or milk",419,"Pasta",41902,"Foodstuffs",4,298755601,1995
"Preparations of cereals, flour, starch or milk",419,"Tapioca",41903,"Foodstuffs",4,2923978,1995
"Preparations of cereals, flour, starch or milk",419,"Prepared Cereals",41904,"Foodstuffs",4,90455784,1995
"Preparations of cereals, flour, starch or milk",419,"Baked Goods",41905,"Foodstuffs",4,655497194,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Pickled Foods",42001,"Foodstuffs",4,91857431,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Tomatoes",42002,"Foodstuffs",4,74687100,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Mushrooms",42003,"Foodstuffs",4,156938317,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Frozen Vegetables",42004,"Foodstuffs",4,114592323,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Vegetables",42005,"Foodstuffs",4,364080090,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Sugar Preserved Foods",42006,"Foodstuffs",4,25763834,1995
